Observacao,Data,Mes,AnoSafra,PrecosMilho,PrecosSoja,,,
1,2014-01-02,1,2014,"26,64","72,18",,,
2,2014-01-03,1,2014,"27,00","71,42",,,
3,2014-01-06,1,2014,"27,29","71,38",,,
4,2014-01-07,1,2014,"27,49","70,31",,,
5,2014-01-08,1,2014,"27,16","70,14",,,
6,2014-01-09,1,2014,"27,17","68,97",,,
7,2014-01-10,1,2014,"27,17","68,64",,,
8,2014-01-13,1,2014,"27,32","67,59",,,
9,2014-01-14,1,2014,"27,35","67,78",,,
10,2014-01-15,1,2014,"27,30","67,60",,,
11,2014-01-16,1,2014,"27,07","67,77",,,
12,2014-01-17,1,2014,"27,02","67,46",,,
13,2014-01-20,1,2014,"26,81","67,58",,,
14,2014-01-21,1,2014,"26,65","66,55",,,
15,2014-01-22,1,2014,"26,59","65,07",,,
16,2014-01-23,1,2014,"26,47","65,04",,,
17,2014-01-24,1,2014,"26,04","65,02",,,
18,2014-01-27,1,2014,"26,16","65,10",,,
19,2014-01-28,1,2014,"26,24","64,81",,,
20,2014-01-29,1,2014,"26,22","64,31",,,
21,2014-01-30,1,2014,"26,46","64,50",,,
22,2014-01-31,1,2014,"26,65","64,15",,,
23,2014-02-03,2,2014,"26,91","63,93",,,
24,2014-02-04,2,2014,"27,41","64,08",,,
25,2014-02-05,2,2014,"28,06","64,33",,,
26,2014-02-06,2,2014,"28,52","64,35",,,
27,2014-02-07,2,2014,"28,31","64,51",,,
28,2014-02-10,2,2014,"28,37","64,99",,,
29,2014-02-11,2,2014,"28,93","65,52",,,
30,2014-02-12,2,2014,"29,51","65,71",,,
31,2014-02-13,2,2014,"29,70","66,49",,,
32,2014-02-14,2,2014,"30,11","67,76",,,
33,2014-02-17,2,2014,"30,13","67,47",,,
34,2014-02-18,2,2014,"30,96","68,16",,,
35,2014-02-19,2,2014,"31,76","68,39",,,
36,2014-02-20,2,2014,"32,51","68,45",,,
37,2014-02-21,2,2014,"33,13","68,34",,,
38,2014-02-24,2,2014,"33,15","68,53",,,
39,2014-02-25,2,2014,"33,62","68,41",,,
40,2014-02-26,2,2014,"33,74","69,11",,,
41,2014-02-27,2,2014,"33,68","69,73",,,
